"row","column","cor","p"
"Kcross.Cancer2lympho","Kcross.lympho2Cancer",0.992479967125539,0
"Kcross.Cancer2lympho","Kcross.Cancer2Stromal",0.84228477501541,0
"Kcross.lympho2Cancer","Kcross.Cancer2Stromal",0.833712127198875,0
"Kcross.Cancer2lympho","Kcross.Stromal2Cancer",0.835943797316306,0
"Kcross.lympho2Cancer","Kcross.Stromal2Cancer",0.83788781590302,0
"Kcross.Cancer2Stromal","Kcross.Stromal2Cancer",0.995046703861169,0
"Kcross.Cancer2lympho","Kcross.Lympho2Stromal",0.627640330989378,0
"Kcross.lympho2Cancer","Kcross.Lympho2Stromal",0.618437055236443,0
"Kcross.Cancer2Stromal","Kcross.Lympho2Stromal",0.6999136254476,0
"Kcross.Stromal2Cancer","Kcross.Lympho2Stromal",0.688891189400722,0
"Kcross.Cancer2lympho","Kcross.Stromal2Lympho",0.624747514659165,0
"Kcross.lympho2Cancer","Kcross.Stromal2Lympho",0.617104202557254,0
"Kcross.Cancer2Stromal","Kcross.Stromal2Lympho",0.699764505065512,0
"Kcross.Stromal2Cancer","Kcross.Stromal2Lympho",0.690113954260246,0
"Kcross.Lympho2Stromal","Kcross.Stromal2Lympho",0.999185250103242,0
"Kcross.Cancer2lympho","cancer_ratio",-0.0311643564982377,0.699344085752231
"Kcross.lympho2Cancer","cancer_ratio",-0.0485498885745444,0.54726326608984
"Kcross.Cancer2Stromal","cancer_ratio",-0.106067550694631,0.187554047645349
"Kcross.Stromal2Cancer","cancer_ratio",-0.125981887436582,0.117089287174735
"Kcross.Lympho2Stromal","cancer_ratio",0.0400910686500012,0.619252552110164
"Kcross.Stromal2Lympho","cancer_ratio",0.036680311675175,0.649393141548146
"Kcross.Cancer2lympho","stromal_ratio",-0.200752319388029,0.0119754826533673
"Kcross.lympho2Cancer","stromal_ratio",-0.219895370706959,0.0058112144349316
"Kcross.Cancer2Stromal","stromal_ratio",-0.298522229773514,0.000153563253090461
"Kcross.Stromal2Cancer","stromal_ratio",-0.306892573216798,9.75052636178475e-05
"Kcross.Lympho2Stromal","stromal_ratio",-0.395849912163605,3.13904114257468e-07
"Kcross.Stromal2Lympho","stromal_ratio",-0.39581798928419,3.14652875310628e-07
"cancer_ratio","stromal_ratio",-0.201890281487569,0.0114907299202702
"Kcross.Cancer2lympho","lymphocytes_ratio",0.0571952395252169,0.478197989757221
"Kcross.lympho2Cancer","lymphocytes_ratio",0.0750075073888511,0.352049819400315
"Kcross.Cancer2Stromal","lymphocytes_ratio",0.16870920326848,0.0352612278332443
"Kcross.Stromal2Cancer","lymphocytes_ratio",0.188285312386401,0.0185794819280001
"Kcross.Lympho2Stromal","lymphocytes_ratio",0.0315373801088908,0.695922131222208
"Kcross.Stromal2Lympho","lymphocytes_ratio",0.0340061007412559,0.673432320350849
"cancer_ratio","lymphocytes_ratio",-0.978821260925226,0
"stromal_ratio","lymphocytes_ratio",0.0393640056265904,0.62562684449119
"Kcross.Cancer2lympho","lymphocyte.dens",-0.0189439079515102,0.814420269585416
